Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2017/6/30,-92497290.53509888,-1126.9192260099594,821.9558568650817,6140.419922,46.56060606,1.1411,1.2995,112.4,2.31,4.39964199,2.2,152.4314179
2017/7/3,-92497290.53509888,-1125.6130859816035,821.6116705024727,6110.060059,43.03030303,1.1367,1.2951,113.32,2.35,4.39964199,2.2,152.4601343
2017/7/5,-92497290.53509888,-1124.26307158056,821.3231826405008,6150.859863,43.03030303,1.1336,1.2934,113.2,2.33,4.406846648,2.419047619,152.5175672
2017/7/6,-92497290.53509888,-1123.3040474828804,820.1451152325928,6089.459961,43.03030303,1.1409,1.2967,113.28,2.37,4.410448977,2.528571429,152.5462836
2017/7/7,-92497290.53509888,-1122.3450151739382,818.967042960662,6153.080078,43.03030303,1.1396,1.288,114.1,2.39,4.414051306,2.638095238,152.575
2017/7/10,-92497290.53509888,-1121.3859910750673,817.7889754869966,6176.390137,43.03030303,1.1396,1.2884,114.08,2.38,4.417653635,2.747619048,152.575
2017/7/11,-92497290.53509888,-1120.4758133346372,816.5785672526969,6193.299805,43.03030303,1.143,1.2851,114.2,2.37,4.421255964,2.857142857,152.6061194
2017/7/12,-92497290.53509888,-1119.5057769235966,815.4077820295353,6261.169922,43.03030303,1.1411,1.2889,113.19,2.33,4.424858293,2.966666667,152.6372388
2017/7/13,-92497290.53509888,-1118.535739617809,814.2370050780014,6274.439941,43.03030303,1.1385,1.2921,113.39,2.35,4.428460622,3.076190476,152.6683582
2017/7/14,-92497290.53509888,-1117.565706862646,813.0662263567382,6312.470215,43.03030303,1.1452,1.3079,112.66,2.33,4.432062951,3.185714286,152.6994776
2017/7/17,-92497290.53509888,-1116.5956706715815,811.8954409879336,6314.430176,43.03030303,1.147,1.3058,112.76,2.31,4.43566528,3.295238095,152.730597
2017/7/18,-92497290.53509888,-1115.6256331472212,810.7246641811033,6344.310059,43.03030303,1.1578,1.3026,111.89,2.27,4.439267609,3.404761905,152.7617164
2017/7/19,-92497290.53509888,-1114.6556006118224,809.5538853808939,6385.040039,43.03030303,1.1518,1.3036,111.77,2.27,4.442869938,3.514285714,152.8239552
2017/7/20,-92497290.53509888,-1113.6855641995908,808.3831000919748,6390.0,43.03030303,1.1634,1.2976,111.68,2.27,4.446472267,3.623809524,152.8550746
2017/7/21,-92497290.53509888,-1112.7155316655947,807.2123212908249,6387.75,43.03030303,1.1655,1.2968,111.18,2.24,4.450074596,3.733333333,152.886194
