Date,Close Pfizer,Date,Pandemic,Consumption_1,Consumption_2,Close NASDQ,Net Income (in millions),SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",Unemployment,Commercial and Industral loans,Government investment
2019/4/12,0.299164517,2019/4/11,0,0.475586777,0.156533727,0.236939631,0.429383437,0.573119777,0.651694682,0.189429175,0.533512064,0.008434295,0.199195807,0.175755894
2019/4/15,0.417288708,2019/4/12,0,0.475762219,0.156766717,0.240402093,0.429383437,0.587743733,0.656654726,0.200422833,0.54691689,0.008626906,0.200731906,0.176067295
2019/4/16,0.222508786,2019/4/15,0,0.476212018,0.157267967,0.23963524,0.429383437,0.587743733,0.661890328,0.200422833,0.544235925,0.008819516,0.202268004,0.176378697
2019/4/17,0.238845336,2019/4/16,0,0.476661817,0.157769219,0.241914069,0.429383437,0.583913649,0.64645908,0.199365751,0.557640751,0.009012127,0.203804102,0.176690098
2019/4/18,0.306704514,2019/4/17,0,0.477111615,0.158270469,0.241523614,0.429383437,0.585306407,0.642876826,0.200422833,0.554959786,0.009204738,0.205340201,0.177001501
2019/4/22,0.319270204,2019/4/18,0,0.477561414,0.15877172,0.241709906,0.429383437,0.565807799,0.633783411,0.199154334,0.549597855,0.009397348,0.206876299,0.177312903
2019/4/23,0.424828573,2019/4/22,0,0.478461011,0.159774222,0.243329155,0.429383437,0.571727019,0.628272251,0.199154334,0.554959786,0.00978257,0.209948496,0.177935706
2019/4/24,0.363252968,2019/4/23,0,0.47891081,0.160275473,0.253260113,0.429383437,0.556058496,0.617249931,0.197463002,0.549597855,0.009975181,0.211484594,0.178247107
2019/4/25,0.399696133,2019/4/24,0,0.479360608,0.160776723,0.251490315,0.429383437,0.548746518,0.618352163,0.19640592,0.538873995,0.010167791,0.213020692,0.17855851
2019/4/26,0.414774935,2019/4/25,0,0.479810407,0.161277975,0.253058798,0.429383437,0.530640669,0.605676495,0.191754757,0.54155496,0.010360402,0.21455679,0.178869912
2019/4/29,0.321783846,2019/4/26,0,0.480260206,0.161779225,0.255666889,0.429383437,0.53551532,0.613667677,0.191966173,0.533512064,0.010553013,0.216092889,0.179181313
2019/4/30,0.497714107,2019/4/29,0,0.480710004,0.162280476,0.257120565,0.429383437,0.539693593,0.612014329,0.196194503,0.54155496,0.010745623,0.217628987,0.179181313
2019/5/1,0.389642494,2019/4/30,0,0.481159803,0.162781727,0.250867488,0.429383437,0.551880223,0.641223478,0.187737844,0.533512064,0.010938234,0.219165085,0.17987973
2019/5/2,0.399695603,2019/5/1,0,0.489300544,0.153838375,0.246562967,0.429383437,0.567548747,0.658032516,0.183086681,0.536193029,0.011130845,0.219165085,0.180578147
2019/5/3,0.417289238,2019/5/2,0,0.489750343,0.154339625,0.245352044,0.429383437,0.545961003,0.641774594,0.187526427,0.544235925,0.011323455,0.219232854,0.181276564
2019/5/6,0.402208847,2019/5/3,0,0.490200141,0.154840876,0.257322845,0.429383437,0.546657382,0.6712593,0.185200846,0.54155496,0.011516066,0.219300623,0.181974982
2019/5/7,0.266491417,2019/5/6,0,0.490347103,0.154930442,0.253492531,0.429383437,0.550487465,0.658583632,0.176321353,0.533512064,0.011708677,0.219368393,0.182673399
2019/5/8,0.384616271,2019/5/7,0,0.490648161,0.155229489,0.238482664,0.429383437,0.543871866,0.647285754,0.165327696,0.517426273,0.011880013,0.219436162,0.183371815
2019/5/9,0.330580398,2019/5/8,0,0.491076613,0.155707232,0.236559513,0.429383437,0.55362117,0.636814549,0.160676533,0.528150134,0.01205135,0.219503931,0.184070232
2019/5/10,0.379589386,2019/5/9,0,0.491335468,0.155947083,0.233480018,0.429383437,0.561281337,0.636538991,0.148625793,0.517426273,0.012222687,0.2195717,0.184768649
2019/5/13,0.350686616,2019/5/10,0,0.491594324,0.156186934,0.234077485,0.429383437,0.565807799,0.642876826,0.148837209,0.522788204,0.012394024,0.219639469,0.185467066
2019/5/14,0.380845941,2019/5/13,0,0.49185318,0.156426785,0.208681289,0.429383437,0.562674095,0.622209975,0.140803383,0.504021448,0.012565361,0.219707238,0.186165482
2019/5/15,0.431111484,2019/5/14,0,0.49183768,0.156398376,0.216911177,0.429383437,0.553969359,0.611187655,0.151374207,0.509383378,0.012736698,0.219775007,0.186863901
2019/5/16,0.431112014,2019/5/15,0,0.49273224,0.156678459,0.22515889,0.429383437,0.554317549,0.599338661,0.149260042,0.495978552,0.012908035,0.219842776,0.187562317
2019/5/17,0.348173504,2019/5/16,0,0.4936268,0.156958543,0.232300152,0.429383437,0.543871866,0.57867181,0.155813953,0.504021448,0.013079372,0.219910545,0.188260734
